PreSens Measurement Studio 2,3.0.3.1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
6/21/22,13:24:06,1,default,187511548,O1,0.424,min,264.344,μmol/L,Humid,22.002,deg,47572,µV,16.124,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297998.69,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:07,1,default,187511548,O1,0.441,min,264.325,μmol/L,Humid,22.003,deg,47572,µV,16.124,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,298004.51,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:08,1,default,187511548,O1,0.458,min,264.216,μmol/L,Humid,22.004,deg,47573,µV,16.135,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297998.89,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:09,1,default,187511548,O1,0.474,min,264.197,μmol/L,Humid,22.008,deg,47567,µV,16.125,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297993.5,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:10,1,default,187511548,O1,0.491,min,264.217,μmol/L,Humid,22.007,deg,47563,µV,16.126,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297986.33,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:11,1,default,187511548,O1,0.508,min,264.167,μmol/L,Humid,22.013,deg,47565,µV,16.115,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297976.13,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:12,1,default,187511548,O1,0.524,min,264.45,μmol/L,Humid,22.003,deg,47567,µV,16.108,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297981.03,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:13,1,default,187511548,O1,0.541,min,264.388,μmol/L,Humid,22.001,deg,47568,µV,16.122,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297996.18,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:14,1,default,187511548,O1,0.558,min,264.265,μmol/L,Humid,22.004,deg,47567,µV,16.129,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,298002.99,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:15,1,default,187511548,O1,0.574,min,264.289,μmol/L,Humid,22.003,deg,47562,µV,16.128,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297988.98,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:16,1,default,187511548,O1,0.591,min,264.239,μmol/L,Humid,22.011,deg,47567,µV,16.111,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297984.28,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:17,1,default,187511548,O1,0.608,min,264.06,μmol/L,Humid,22.015,deg,47557,µV,16.122,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297981.1,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:18,1,default,187511548,O1,0.624,min,264.233,μmol/L,Humid,22.006,deg,47565,µV,16.127,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297967.21,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:19,1,default,187511548,O1,0.641,min,264.41,μmol/L,Humid,22.002,deg,47563,µV,16.116,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297981.34,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:20,1,default,187511548,O1,0.658,min,264.288,μmol/L,Humid,22.005,deg,47560,µV,16.123,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297972.11,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:21,1,default,187511548,O1,0.674,min,264.196,μmol/L,Humid,22.011,deg,47561,µV,16.117,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297960.13,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:22,1,default,187511548,O1,0.691,min,264.079,μmol/L,Humid,22.012,deg,47556,µV,16.129,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297961.32,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:23,1,default,187511548,O1,0.707,min,264.112,μmol/L,Humid,22.011,deg,47560,µV,16.127,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297965.01,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:24,1,default,187511548,O1,0.724,min,264.018,μmol/L,Humid,22.015,deg,47556,µV,16.128,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297958.34,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:25,1,default,187511548,O1,0.741,min,264.14,μmol/L,Humid,22.007,deg,47561,µV,16.136,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297969.27,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:26,1,default,187511548,O1,0.757,min,264.261,μmol/L,Humid,22.007,deg,47558,µV,16.12,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297953.7,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:27,1,default,187511548,O1,0.774,min,264.353,μmol/L,Humid,22.003,deg,47555,µV,16.12,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297942.49,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:28,1,default,187511548,O1,0.791,min,264.051,μmol/L,Humid,22.013,deg,47549,µV,16.129,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297953.63,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:29,1,default,187511548,O1,0.808,min,264.073,μmol/L,Humid,22.015,deg,47553,µV,16.121,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297953.77,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:30,1,default,187511548,O1,0.824,min,264.05,μmol/L,Humid,22.013,deg,47548,µV,16.13,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297937.89,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
6/21/22,13:24:31,1,default,187511548,O1,0.841,min,264.163,μmol/L,Humid,22.013,deg,47548,µV,16.115,°C,1014,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,297945.65,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/14/22 2:05,0000-00,0,no battery,V
