Date,ID,Chamber.Channel,Genus,Temp.Cat,Start.time,Stop.Time,Light_Dark,Volume
6/7/22,O1_dark_O2,1,Pad,20,14:25:05,14:44:18,Dark,628
6/7/22,O1_52_O2,1,Pad,20,14:52:54,15:40:26,Light,628
6/7/22,O1_88_O2,1,Pad,20,15:55:40,16:11:22,Light,628
6/7/22,O1_132_O2,1,Pad,20,16:16:42,16:27:18,Light,628
6/7/22,O1_212_O2,1,Pad,20,16:31:27,16:40:19,Light,628
6/7/22,O1_280_O2,1,Pad,20,16:46:39,16:54:33,Light,628
6/7/22,O1_364_O2,1,Pad,20,16:58:30,17:11:16,Light,628
6/7/22,O1_432_O2,1,Pad,20,17:19:26,17:31:05,Light,628
6/7/22,O1_551_O2,1,Pad,20,17:35:50,18:12:37,Light,628
6/7/22,O1_577_O2,1,Pad,20,18:18:58,18:32:35,Light,628
6/7/22,O2_dark_O2,2,Ulv,20,14:25:10,14:39:20,Dark,643
6/7/22,O2_52_O2,2,Ulv,20,15:04:07,15:40:29,Light,643
6/7/22,O2_88_O2,2,Ulv,20,15:55:35,16:11:25,Light,643
6/7/22,O2_132_O2,2,Ulv,20,16:16:44,16:27:20,Light,643
6/7/22,O2_212_O2,2,Ulv,20,16:31:29,16:40:22,Light,643
6/7/22,O2_280_O2,2,Ulv,20,16:46:42,16:54:35,Light,643
6/7/22,O2_364_O2,2,Ulv,20,16:58:33,17:11:19,Light,643
6/7/22,O2_432_O2,2,Ulv,20,17:19:29,17:31:09,Light,643
6/7/22,O2_551_O2,2,Ulv,20,17:35:53,18:12:41,Light,643
6/7/22,O2_577_O2,2,Ulv,20,18:19:01,18:32:36,Light,643
6/7/22,O5_dark_O2,5,Och,20,14:25:17,14:39:28,Dark,635
6/7/22,O5_52_O2,5,Och,20,14:53:32,15:40:57,Light,635
6/7/22,O5_88_O2,5,Och,20,15:55:50,16:11:34,Light,635
6/7/22,O5_132_O2,5,Och,20,16:16:51,16:27:27,Light,635
6/7/22,O5_212_O2,5,Och,20,16:31:39,16:40:31,Light,635
6/7/22,O5_280_O2,5,Och,20,16:46:48,16:54:42,Light,635
6/7/22,O5_364_O2,5,Och,20,16:58:43,17:11:29,Light,635
6/7/22,O5_432_O2,5,Och,20,17:19:37,17:31:18,Light,635
6/7/22,O5_551_O2,5,Och,20,17:36:10,18:12:51,Light,635
6/7/22,O5_577_O2,5,Och,20,18:19:16,18:32:46,Light,635
6/7/22,O8_dark_O2,8,Och,20,14:25:23,14:39:36,Dark,621
6/7/22,O8_52_O2,8,Och,20,14:53:55,15:40:45,Light,621
6/7/22,O8_88_O2,8,Och,20,15:55:55,16:11:42,Light,621
6/7/22,O8_132_O2,8,Och,20,16:16:59,16:27:36,Light,621
6/7/22,O8_212_O2,8,Och,20,16:31:49,16:40:39,Light,621
6/7/22,O8_280_O2,8,Och,20,16:46:55,16:54:51,Light,621
6/7/22,O8_364_O2,8,Och,20,16:58:55,17:11:38,Light,621
6/7/22,O8_432_O2,8,Och,20,17:19:47,17:31:27,Light,621
6/7/22,O8_551_O2,8,Och,20,17:36:19,18:12:59,Light,621
6/7/22,O8_577_O2,8,Och,20,18:19:25,18:33:04,Light,621
6/7/22,O9_dark_O2,9,Pad,20,14:25:27,14:39:40,Dark,617
6/7/22,O9_52_O2,9,Pad,20,14:54:00,15:40:48,Light,617
6/7/22,O9_88_O2,9,Pad,20,15:55:58,16:11:45,Light,617
6/7/22,O9_132_O2,9,Pad,20,16:17:02,16:27:39,Light,617
6/7/22,O9_212_O2,9,Pad,20,16:31:50,16:40:41,Light,617
6/7/22,O9_280_O2,9,Pad,20,16:46:58,16:54:55,Light,617
6/7/22,O9_364_O2,9,Pad,20,16:58:56,17:11:41,Light,617
6/7/22,O9_432_O2,9,Pad,20,17:19:50,17:31:30,Light,617
6/7/22,O9_551_O2,9,Pad,20,17:36:22,18:13:01,Light,617
6/7/22,O9_577_O2,9,Pad,20,18:19:27,18:33:06,Light,617
6/7/22,O10_dark_O2,10,Ulv,20,14:25:30,14:39:43,Dark,655
6/7/22,O10_52_O2,10,Ulv,20,14:54:10,15:40:52,Light,655
6/7/22,O10_88_O2,10,Ulv,20,15:56:01,16:11:49,Light,655
6/7/22,O10_132_O2,10,Ulv,20,16:17:05,16:27:41,Light,655
6/7/22,O10_212_O2,10,Ulv,20,16:31:54,16:40:43,Light,655
6/7/22,O10_280_O2,10,Ulv,20,16:47:01,16:54:58,Light,655
6/7/22,O10_364_O2,10,Ulv,20,16:58:57,17:11:45,Light,655
6/7/22,O10_432_O2,10,Ulv,20,17:19:58,17:31:33,Light,655
6/7/22,O10_551_O2,10,Ulv,20,17:36:26,18:13:05,Light,655
6/7/22,O10_577_O2,10,Ulv,20,18:19:30,18:33:09,Light,655
