,Temp.Cat,unique.ID,Temp.C,K,Ambient_Nutrient,Species,Chamber.Channel,Run,umol.cm2.hr,log.rate,rate.type,Condition,individual.ID,Species.ID,Organism.ID
851,16,C1_AD_16,16,289.15,Ambient,Caul,1,9,23.14460394,3.184060916,Respiration,RespirationAmbient,C1_AD,C1_D,C1
852,20,C1_AD_20,20,293.15,Ambient,Caul,1,9,5.123297955,1.812100833,Respiration,RespirationAmbient,C1_AD,C1_D,C1
853,22,C1_AD_22,22,295.15,Ambient,Caul,1,9,36.71469116,3.630049704,Respiration,RespirationAmbient,C1_AD,C1_D,C1
854,24,C1_AD_24,24,297.15,Ambient,Caul,1,9,31.5096115,3.481535784,Respiration,RespirationAmbient,C1_AD,C1_D,C1
855,26,C1_AD_26,26,299.15,Ambient,Caul,1,9,64.72066475,4.185413408,Respiration,RespirationAmbient,C1_AD,C1_D,C1
856,28,C1_AD_28,28,301.15,Ambient,Caul,1,9,53.42528474,3.996828839,Respiration,RespirationAmbient,C1_AD,C1_D,C1
857,30,C1_AD_30,30,303.15,Ambient,Caul,1,9,78.51938857,4.376000873,Respiration,RespirationAmbient,C1_AD,C1_D,C1
858,32,C1_AD_32,32,305.15,Ambient,Caul,1,9,88.55401497,4.494841962,Respiration,RespirationAmbient,C1_AD,C1_D,C1
859,34,C1_AD_34,34,307.15,Ambient,Caul,1,9,180.2810998,5.200048864,Respiration,RespirationAmbient,C1_AD,C1_D,C1
860,36,C1_AD_36,36,309.15,Ambient,Caul,1,9,153.4786804,5.040056096,Respiration,RespirationAmbient,C1_AD,C1_D,C1
861,39,C1_AD_39,39,312.15,Ambient,Caul,1,9,154.0765906,5.043919128,Respiration,RespirationAmbient,C1_AD,C1_D,C1
862,42,C1_AD_42,42,315.15,Ambient,Caul,1,9,159.3848435,5.077576199,Respiration,RespirationAmbient,C1_AD,C1_D,C1
1,16,C1_AL_16,16,289.15,Ambient,Caul,1,11,141.3252112,4.958114659,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
2,20,C1_AL_20,20,293.15,Ambient,Caul,1,11,171.8215815,5.152259742,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
3,22,C1_AL_22,22,295.15,Ambient,Caul,1,11,222.2341571,5.408221252,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
4,24,C1_AL_24,24,297.15,Ambient,Caul,1,11,264.2763617,5.580772157,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
5,26,C1_AL_26,26,299.15,Ambient,Caul,1,11,268.2818038,5.595758429,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
6,28,C1_AL_28,28,301.15,Ambient,Caul,1,11,323.4429842,5.782109817,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
7,30,C1_AL_30,30,303.15,Ambient,Caul,1,11,309.0724523,5.736805987,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
8,32,C1_AL_32,32,305.15,Ambient,Caul,1,11,314.5497222,5.754316268,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
9,34,C1_AL_34,34,307.15,Ambient,Caul,1,11,295.8480957,5.693220546,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
10,36,C1_AL_36,36,309.15,Ambient,Caul,1,11,187.687193,5.24009058,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
11,39,C1_AL_39,39,312.15,Ambient,Caul,1,11,1,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
12,42,C1_AL_42,42,315.15,Ambient,Caul,1,11,1,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,C1_AL,C1_L,C1
863,16,C1_ND_16,16,289.15,Nutrient,Caul,1,10,30.22610557,3.441254462,Respiration,RespirationNutrient,C1_ND,C1_D,C1
864,20,C1_ND_20,20,293.15,Nutrient,Caul,1,10,30.37795856,3.44610569,Respiration,RespirationNutrient,C1_ND,C1_D,C1
865,22,C1_ND_22,22,295.15,Nutrient,Caul,1,10,39.11502846,3.691751039,Respiration,RespirationNutrient,C1_ND,C1_D,C1
866,24,C1_ND_24,24,297.15,Nutrient,Caul,1,10,10.64164744,2.454588965,Respiration,RespirationNutrient,C1_ND,C1_D,C1
867,26,C1_ND_26,26,299.15,Nutrient,Caul,1,10,67.59393596,4.228204134,Respiration,RespirationNutrient,C1_ND,C1_D,C1
868,28,C1_ND_28,28,301.15,Nutrient,Caul,1,10,86.18655342,4.468050115,Respiration,RespirationNutrient,C1_ND,C1_D,C1
869,30,C1_ND_30,30,303.15,Nutrient,Caul,1,10,122.36262,4.815128148,Respiration,RespirationNutrient,C1_ND,C1_D,C1
870,32,C1_ND_32,32,305.15,Nutrient,Caul,1,10,97.08531287,4.585837639,Respiration,RespirationNutrient,C1_ND,C1_D,C1
871,34,C1_ND_34,34,307.15,Nutrient,Caul,1,10,84.58659247,4.449528641,Respiration,RespirationNutrient,C1_ND,C1_D,C1
872,36,C1_ND_36,36,309.15,Nutrient,Caul,1,10,76.28134057,4.347452537,Respiration,RespirationNutrient,C1_ND,C1_D,C1
873,39,C1_ND_39,39,312.15,Nutrient,Caul,1,10,193.9895971,5.272946209,Respiration,RespirationNutrient,C1_ND,C1_D,C1
874,42,C1_ND_42,42,315.15,Nutrient,Caul,1,10,1.546881794,0.934869785,Respiration,RespirationNutrient,C1_ND,C1_D,C1
13,16,C1_NL_16,16,289.15,Nutrient,Caul,1,12,81.68895191,4.415086001,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
14,20,C1_NL_20,20,293.15,Nutrient,Caul,1,12,107.728534,4.688854262,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
15,22,C1_NL_22,22,295.15,Nutrient,Caul,1,12,140.0501464,4.949115475,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
16,24,C1_NL_24,24,297.15,Nutrient,Caul,1,12,164.94415,5.111651286,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
17,26,C1_NL_26,26,299.15,Nutrient,Caul,1,12,245.5541837,5.507581781,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
18,28,C1_NL_28,28,301.15,Nutrient,Caul,1,12,208.7275675,5.345809391,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
19,30,C1_NL_30,30,303.15,Nutrient,Caul,1,12,249.4886322,5.523413539,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
20,32,C1_NL_32,32,305.15,Nutrient,Caul,1,12,265.2455121,5.584418861,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
21,34,C1_NL_34,34,307.15,Nutrient,Caul,1,12,202.4527529,5.315433805,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
22,36,C1_NL_36,36,309.15,Nutrient,Caul,1,12,105.2510946,4.66580511,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
23,39,C1_NL_39,39,312.15,Nutrient,Caul,1,12,-157.391668,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
24,42,C1_NL_42,42,315.15,Nutrient,Caul,1,12,-29.7841401,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,C1_NL,C1_L,C1
875,16,C10_AD_16,16,289.15,Ambient,Caul,10,9,23.56361165,3.201266147,Respiration,RespirationAmbient,C10_AD,C10_D,C10
876,20,C10_AD_20,20,293.15,Ambient,Caul,10,9,11.24592683,2.505193378,Respiration,RespirationAmbient,C10_AD,C10_D,C10
877,22,C10_AD_22,22,295.15,Ambient,Caul,10,9,29.23852774,3.409116864,Respiration,RespirationAmbient,C10_AD,C10_D,C10
878,24,C10_AD_24,24,297.15,Ambient,Caul,10,9,27.02616967,3.333138705,Respiration,RespirationAmbient,C10_AD,C10_D,C10
879,26,C10_AD_26,26,299.15,Ambient,Caul,10,9,38.01723409,3.664003448,Respiration,RespirationAmbient,C10_AD,C10_D,C10
880,28,C10_AD_28,28,301.15,Ambient,Caul,10,9,44.55560435,3.818933653,Respiration,RespirationAmbient,C10_AD,C10_D,C10
881,30,C10_AD_30,30,303.15,Ambient,Caul,10,9,45.02983697,3.829289816,Respiration,RespirationAmbient,C10_AD,C10_D,C10
882,32,C10_AD_32,32,305.15,Ambient,Caul,10,9,39.83087121,3.709438443,Respiration,RespirationAmbient,C10_AD,C10_D,C10
883,34,C10_AD_34,34,307.15,Ambient,Caul,10,9,82.92737374,4.429951827,Respiration,RespirationAmbient,C10_AD,C10_D,C10
884,36,C10_AD_36,36,309.15,Ambient,Caul,10,9,114.0116013,4.745033004,Respiration,RespirationAmbient,C10_AD,C10_D,C10
885,39,C10_AD_39,39,312.15,Ambient,Caul,10,9,66.75902503,4.215957662,Respiration,RespirationAmbient,C10_AD,C10_D,C10
886,42,C10_AD_42,42,315.15,Ambient,Caul,10,9,98.50131579,4.600170868,Respiration,RespirationAmbient,C10_AD,C10_D,C10
25,16,C10_AL_16,16,289.15,Ambient,Caul,10,11,149.5129601,5.014049194,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
26,20,C10_AL_20,20,293.15,Ambient,Caul,10,11,203.6420288,5.321262252,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
27,22,C10_AL_22,22,295.15,Ambient,Caul,10,11,235.304017,5.465119184,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
28,24,C10_AL_24,24,297.15,Ambient,Caul,10,11,254.6892813,5.543962962,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
29,26,C10_AL_26,26,299.15,Ambient,Caul,10,11,324.8855354,5.786546201,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
30,28,C10_AL_28,28,301.15,Ambient,Caul,10,11,425.2998052,6.055142867,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
31,30,C10_AL_30,30,303.15,Ambient,Caul,10,11,270.5232335,5.60404771,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
32,32,C10_AL_32,32,305.15,Ambient,Caul,10,11,310.8182078,5.742420351,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
33,34,C10_AL_34,34,307.15,Ambient,Caul,10,11,268.3196234,5.595898865,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
34,36,C10_AL_36,36,309.15,Ambient,Caul,10,11,25.15245009,3.26394288,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
35,39,C10_AL_39,39,312.15,Ambient,Caul,10,11,-147.7391866,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
36,42,C10_AL_42,42,315.15,Ambient,Caul,10,11,156.7961697,5.061304135,Net Photosynthesis,Net PhotosynthesisAmbient,C10_AL,C10_L,C10
887,16,C10_ND_16,16,289.15,Nutrient,Caul,10,10,51.10117607,3.953187522,Respiration,RespirationNutrient,C10_ND,C10_D,C10
888,20,C10_ND_20,20,293.15,Nutrient,Caul,10,10,37.71922762,3.656336314,Respiration,RespirationNutrient,C10_ND,C10_D,C10
889,22,C10_ND_22,22,295.15,Nutrient,Caul,10,10,11.9616752,2.561996942,Respiration,RespirationNutrient,C10_ND,C10_D,C10
