"","X","ID","Intercept","umol.L.sec","Temp.C","Date","Chamber.Channel","Run","Species","Temp.Cat","Start.time","Stop.Time","Ambient_Nutrient","Light_Dark","Organism.ID","Dry.weight","Blank","Volume","umol.sec"
"1",1,"C1_AD_16C",264.017201292517,-0.000858945578231384,16.1336909090909,"6/21/22",1,9,"Caul",16,2023-02-25 13:24:06,2023-02-25 13:37:53,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.00055230200680278
"2",2,"C1_AD_20C",286.525420065681,-0.00124075533661719,19.67665625,"6/21/22",1,9,"Caul",20,2023-02-25 14:18:15,2023-02-25 14:26:18,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.000797805681444853
"3",3,"C1_AD_22C",280.785477845118,-0.0028492736892738,21.8688,"6/21/22",1,9,"Caul",22,2023-02-25 14:53:22,2023-02-25 15:07:15,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.00183208298220305
"4",4,"C1_AD_24C",270.913794803852,-0.00278359877848244,23.8875098039216,"6/21/22",1,9,"Caul",24,2023-02-25 15:28:26,2023-02-25 15:41:18,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.00178985401456421
"5",5,"C1_AD_26C",263.751164892473,-0.00485642473118272,25.7962058823529,"6/21/22",1,9,"Caul",26,2023-02-25 16:04:48,2023-02-25 16:13:30,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.00312268110215049
"6",6,"C1_AD_28C",255.712361419314,-0.00490670143828042,27.8891020408163,"6/21/22",1,9,"Caul",28,2023-02-25 16:28:23,2023-02-25 16:40:50,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.00315500902481431
"7",7,"C1_AD_30C",236.021877208539,-0.00623385878489312,29.8208064516129,"6/21/22",1,9,"Caul",30,2023-02-25 17:09:46,2023-02-25 17:17:41,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.00400837119868628
"8",8,"C1_AD_32C",228.754562495895,-0.00830633825944177,31.83545,"6/21/22",1,9,"Caul",32,2023-02-25 17:37:01,2023-02-25 17:47:06,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.00534097550082106
"9",9,"C1_AD_34C",221.587011351909,-0.013184038527692,33.8495384615385,"6/21/22",1,9,"Caul",34,2023-02-25 18:48:26,2023-02-25 18:55:16,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.00847733677330596
"10",10,"C1_AD_36C",214.14465865339,-0.0107084400189663,35.9325833333333,"6/21/22",1,9,"Caul",36,2023-02-25 19:19:06,2023-02-25 19:31:24,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.00688552693219533
