,individual.ID,Run,Species,Ambient_Nutrient,rate.type,E,Eh,lnc,Th,Topt,Topt,Pmax
1,C1_AD,9,Caul,Ambient,Respiration,1.027813873,3.356477104,3.07349033,314.4091461,312.3464538,39.1964538,5.179941758
2,C1_AL,11,Caul,Ambient,Net Photosynthesis,0.524645851,8.019654213,5.228646099,307.2885699,304.6130462,31.4630462,5.928137969
3,C1_ND,10,Caul,Nutrient,Respiration,0.650472128,61.70246633,3.463197652,314.5553011,313.9287461,40.7787461,5.138854254
4,C1_NL,12,Caul,Nutrient,Net Photosynthesis,0.704940844,7.476922599,4.771576372,306.778019,304.3427457,31.1927457,5.679486412
5,C10_AD,9,Caul,Ambient,Respiration,0.605975513,3.358427854,3.128175256,318.5816458,314.6873645,41.5373645,4.554081656
6,C10_AL,11,Caul,Ambient,Net Photosynthesis,1.109910562,3.323948437,5.445520088,300.6025785,298.9930647,25.8430647,5.867600784
7,C10_ND,10,Caul,Nutrient,Respiration,0.099098949,1.09E-08,4.267475395,299.0472313,299.0472313,NA,NA
8,C2_AD,9,Caul,Ambient,Respiration,0.692488144,52.27514741,3.09112807,315.4280411,314.7224019,41.5724019,4.937500133
9,C2_ND,10,Caul,Nutrient,Respiration,0.396814338,54.59684567,3.885723572,315.2707278,314.5009901,41.3509901,4.933793936
10,C2_NL,12,Caul,Nutrient,Net Photosynthesis,0.701812044,3.977590618,4.819431606,304.1230323,301.0659943,27.9159943,5.336618846
11,C3_AD,9,Caul,Ambient,Respiration,0.486429558,3.496140395,3.410853253,318.1623118,313.6777491,40.5277491,4.507652155
12,C3_AL,11,Caul,Ambient,Net Photosynthesis,0.537344229,7.049791918,4.582546378,307.0845665,304.2346061,31.0846061,5.263525739
13,C3_ND,10,Caul,Nutrient,Respiration,0.069444738,5.59E-08,4.049664739,299.3148902,299.3148902,NA,NA
14,C3_NL,12,Caul,Nutrient,Net Photosynthesis,0.688989984,7.272238794,4.831520062,306.5017386,304.0088617,30.8588617,5.687293816
15,C4_AL,11,Caul,Ambient,Net Photosynthesis,0.763776705,3.618032286,5.354679973,304.4308188,301.5475148,28.3975148,5.938667254
16,C4_ND,10,Caul,Nutrient,Respiration,0.022296684,5.91E-07,3.764259799,286.6543658,286.6543658,NA,NA
17,C4_NL,12,Caul,Nutrient,Net Photosynthesis,0.928034745,7.985251623,4.847908329,306.5573524,304.512971,31.362971,6.069742526
18,C5_AD,9,Caul,Ambient,Respiration,0.617085556,53.3223297,3.61565408,315.3689672,314.6555153,41.5055153,5.256389231
19,C5_AL,11,Caul,Ambient,Net Photosynthesis,0.737542828,3.821914069,5.125881977,303.6369045,300.6906291,27.5406291,5.623523166
20,C5_ND,10,Caul,Nutrient,Respiration,0.27855599,58.58781698,4.163834051,314.755278,313.9782608,40.8282608,4.882807544
21,C5_NL,12,Caul,Nutrient,Net Photosynthesis,0.821333587,7.36303016,5.055625162,306.0109542,303.7529179,30.6029179,6.049750041
22,C6_AD,9,Caul,Ambient,Respiration,0.683657161,3.965502535,3.580116937,316.7372633,313.3528529,40.2028529,5.116741223
23,C6_AL,11,Caul,Ambient,Net Photosynthesis,0.869933858,3.635791309,5.441186806,303.287885,300.7861703,27.6361703,6.018230352
24,C6_NL,12,Caul,Nutrient,Net Photosynthesis,0.986719848,7.903776122,4.869995873,306.325365,304.3453505,31.1953505,6.146398144
25,C7_AD,9,Caul,Ambient,Respiration,0.529873196,1.26E-08,3.994137527,299.4533479,299.4533479,NA,NA
26,C7_AL,11,Caul,Ambient,Net Photosynthesis,0.965050862,2.624706293,5.069467937,303.3005041,301.6712803,28.5212803,5.663829327
27,C7_ND,10,Caul,Nutrient,Respiration,0.159434873,5.02E-08,4.08269497,322.9405805,322.9405805,NA,NA
28,C7_NL,12,Caul,Nutrient,Net Photosynthesis,0.812174728,6.202572598,4.355214462,306.57842,304.1259548,30.9759548,5.352911782
29,C8_AD,9,Caul,Ambient,Respiration,0.674755734,56.44885571,3.320013446,315.2332526,314.5647597,41.4147597,5.107609951
30,C8_AL,11,Caul,Ambient,Net Photosynthesis,0.724384435,6.778304696,5.091132027,306.5415854,304.0252779,30.8752779,5.983988893
31,C8_ND,10,Caul,Nutrient,Respiration,0.232438052,2.86E-08,4.673099584,299.4422743,299.4422743,NA,NA
32,C8_NL,12,Caul,Nutrient,Net Photosynthesis,0.738779527,7.379492049,4.588125005,306.7887199,304.3932945,31.2432945,5.542588694
33,C9_AD,9,Caul,Ambient,Respiration,0.617397513,56.232228,3.306497389,315.2262464,314.5421733,41.3921733,4.940465685
34,C9_AL,11,Caul,Ambient,Net Photosynthesis,0.673735553,5.639798033,5.050359192,304.0462626,301.2498148,28.0998148,5.621830943
35,C9_ND,10,Caul,Nutrient,Respiration,1.573883282,2.004980919,5.635271878,289.1699675,293.9015972,20.7515972,4.215031824
36,C9_NL,12,Caul,Nutrient,Net Photosynthesis,0.765099641,6.906066207,4.676396857,306.0253559,303.6099882,30.4599882,5.581460294
37,G1_AD,8,Grac,Ambient,Respiration,1.176542691,1.538648937,4.119854985,295.8929692,301.7881411,28.6381411,3.974077682
38,G1_AL,15,Grac,Ambient,Net Photosynthesis,0.090113535,6.349170253,5.435632759,306.7170029,301.3946616,28.2446616,5.516457467
39,G1_ND,2,Grac,Nutrient,Respiration,0.187407821,52.2269425,3.685037869,314.8846879,313.966601,40.816601,4.168105673
40,G1_NL,5,Grac,Nutrient,Net Photosynthesis,0.613377741,5.342370313,4.929490527,303.3367194,300.3343614,27.1843614,5.371633587
41,G10_AD,8,Grac,Ambient,Respiration,1.018801463,1.338840749,3.38148179,297.0313094,303.7578782,30.6078782,3.330848472
42,G10_AL,15,Grac,Ambient,Net Photosynthesis,0.124779776,5.612676034,5.003789994,306.2307511,300.8765237,27.7265237,5.104747665
43,G10_ND,2,Grac,Nutrient,Respiration,0.182239243,51.83818311,3.572325279,315.421457,314.4899708,41.3399708,4.053250385
44,G10_NL,5,Grac,Nutrient,Net Photosynthesis,0.713421632,5.290437556,4.875817556,302.9393082,300.1852259,27.0352259,5.373380029
45,G2_AD,8,Grac,Ambient,Respiration,0.945617924,1.247112195,3.837022997,296.0579373,303.1490463,29.9990463,3.625975548
46,G2_AL,15,Grac,Ambient,Net Photosynthesis,0.36313844,6.852721835,4.991137532,306.9612129,303.5815513,30.4315513,5.420689519
47,G2_NL,5,Grac,Nutrient,Net Photosynthesis,0.751189336,5.398625543,4.767524274,303.2136982,300.5618201,27.4118201,5.330494672
48,G3_AD,8,Grac,Ambient,Respiration,1.218384555,1.482679647,4.34951331,293.3671302,301.2183519,28.0683519,3.883589627
49,G3_AL,15,Grac,Ambient,Net Photosynthesis,0.229103766,6.040249156,4.822806413,306.6905321,302.4109236,29.2609236,5.055603856
50,G3_ND,2,Grac,Nutrient,Respiration,0.193212754,50.62665507,3.589212344,315.5243442,314.5839006,41.4339006,4.101134443
51,G3_NL,5,Grac,Nutrient,Net Photosynthesis,0.336586599,6.502262679,5.02462595,306.6335084,303.0512447,29.9012447,5.397576778
52,G4_AD,8,Grac,Ambient,Respiration,1.074733107,1.492866329,4.34687333,295.4891534,300.3264887,27.1764887,4.061523318
53,G4_ND,2,Grac,Nutrient,Respiration,5.043668944,5.107504342,7.33841823,288.3230933,294.5867946,21.4367946,3.793668713
54,G4_NL,5,Grac,Nutrient,Net Photosynthesis,0.719210403,5.092057994,4.49603019,303.126331,300.3444522,27.1944522,5.006126505
55,G5_AD,8,Grac,Ambient,Respiration,1.258642815,1.531072373,4.562930535,294.1375514,301.7859155,28.6359155,4.227956188
56,G5_AL,15,Grac,Ambient,Net Photosynthesis,0.273923984,4.8551344,5.172388722,303.380923,298.8466347,25.6966347,5.313559165
57,G5_ND,2,Grac,Nutrient,Respiration,0.401457302,1.82E-08,4.268594061,309.5823173,309.5823173,NA,NA
58,G5_NL,5,Grac,Nutrient,Net Photosynthesis,0.694984685,5.412562852,4.925421029,303.1622199,300.3846663,27.2346663,5.431640695
59,G6_AD,8,Grac,Ambient,Respiration,0.566055928,1.750302651,3.473293804,313.9218003,310.3796676,37.2296676,4.310839695
