,individual.ID,rate.type,Ambient_Nutrient,Species,E,Eh,lnc,Th,Topt
1,C1_AD,Respiration,Ambient,Caul,1.027813867,3.35647713,3.073490333,314.4091462,39.19645386
2,C1_AL,Net Photosynthesis,Ambient,Caul,0.52464586,8.019652903,5.228646119,307.2885698,31.46304582
3,C1_ND,Respiration,Nutrient,Caul,0.650472124,61.70246633,3.463197652,314.5553011,40.77874612
4,C1_NL,Net Photosynthesis,Nutrient,Caul,0.704940856,7.476921348,4.771576376,306.7780188,31.19274527
5,C10_AD,Respiration,Ambient,Caul,0.605975517,3.358427704,3.128175253,318.5816458,41.5373645
6,C10_AL,Net Photosynthesis,Ambient,Caul,1.109910534,3.323948134,5.44552009,300.6025784,25.84306469
7,C10_ND,Respiration,Nutrient,Caul,0.099099041,1.83E-07,4.267475297,299.0472313,NA
8,C2_AD,Respiration,Ambient,Caul,0.692488152,52.27514741,3.091128064,315.4280411,41.57240192
9,C2_ND,Respiration,Nutrient,Caul,0.396814343,56.55286673,3.885723569,315.2707278,41.37220475
10,C2_NL,Net Photosynthesis,Nutrient,Caul,0.701812074,3.977590335,4.819431612,304.1230322,27.91599422
11,C3_AD,Respiration,Ambient,Caul,0.486429564,3.496139569,3.410853252,318.1623122,40.52774917
12,C3_AL,Net Photosynthesis,Ambient,Caul,0.537344247,7.049790564,4.582546375,307.0845663,31.0846056
13,C3_ND,Respiration,Nutrient,Caul,0.069444767,6.65E-08,4.049664669,310.4215218,NA
14,C3_NL,Net Photosynthesis,Nutrient,Caul,0.688990038,7.272237534,4.831520047,306.5017383,30.8588613
15,C4_AL,Net Photosynthesis,Ambient,Caul,0.763776631,3.618031908,5.354679998,304.4308191,28.39751477
16,C4_ND,Respiration,Nutrient,Caul,0.022296551,3.56E-08,3.764259277,351.4972531,NA
17,C4_NL,Net Photosynthesis,Nutrient,Caul,0.928034776,7.985250401,4.847908335,306.5573521,31.36297063
18,C5_AD,Respiration,Ambient,Caul,0.617085555,53.74434968,3.61565408,315.3689672,41.50983842
19,C5_AL,Net Photosynthesis,Ambient,Caul,0.737542881,3.821913837,5.125881944,303.6369044,27.54062918
20,C5_ND,Respiration,Nutrient,Caul,0.278555995,58.79154159,4.163834046,314.7566454,40.83180323
21,C5_NL,Net Photosynthesis,Nutrient,Caul,0.821333623,7.363028915,5.055625161,306.0109538,30.60291736
22,C6_AD,Respiration,Ambient,Caul,0.683657165,3.965502669,3.580116933,316.7372633,40.20285299
23,C6_AL,Net Photosynthesis,Ambient,Caul,0.86993383,3.635791035,5.441186799,303.2878852,27.63617048
24,C6_NL,Net Photosynthesis,Nutrient,Caul,0.986719898,7.903774845,4.869995858,306.3253647,31.19535009
25,C7_AD,Respiration,Ambient,Caul,0.529873209,3.59E-08,3.994137514,299.4533479,NA
26,C7_AL,Net Photosynthesis,Ambient,Caul,0.965050862,2.624706255,5.069467947,303.300504,28.52128029
27,C7_ND,Respiration,Nutrient,Caul,0.15943493,2.04E-07,4.082694821,322.9405805,NA
28,C7_NL,Net Photosynthesis,Nutrient,Caul,0.812174728,6.202572457,4.355214446,306.5784203,30.97595512
29,C8_AD,Respiration,Ambient,Caul,0.674755735,56.44885571,3.320013445,315.2357634,41.41725986
30,C8_AL,Net Photosynthesis,Ambient,Caul,0.724384443,6.778304573,5.091131999,306.5415857,30.87527816
31,C8_ND,Respiration,Nutrient,Caul,0.232438042,2.86E-08,4.673099582,303.3000956,NA
32,C8_NL,Net Photosynthesis,Nutrient,Caul,0.738779559,7.379490732,4.588124995,306.7887197,31.2432941
33,C9_AD,Respiration,Ambient,Caul,0.617397521,56.55989775,3.30649738,315.2262464,41.39524198
34,C9_AL,Net Photosynthesis,Ambient,Caul,0.673735615,5.639797008,5.050359205,304.046262,28.09981415
35,C9_ND,Respiration,Nutrient,Caul,1.573883254,2.004980887,5.635271908,289.1699673,20.751597
36,C9_NL,Net Photosynthesis,Nutrient,Caul,0.765099678,6.906065007,4.676396845,306.0253556,30.4599878
37,G1_AD,Respiration,Ambient,Grac,1.176542684,1.538648936,4.119854976,295.8929693,28.6381411
38,G1_AL,Net Photosynthesis,Ambient,Grac,0.090113586,6.349168973,5.435632739,306.7170026,28.24466117
39,G1_ND,Respiration,Nutrient,Grac,0.187407818,52.70051684,3.685037871,314.8870867,40.82575139
40,G1_NL,Net Photosynthesis,Nutrient,Grac,0.61337776,5.342369384,4.929490551,303.3367191,27.18436088
41,G10_AD,Respiration,Ambient,Grac,1.018801392,1.338840707,3.38148174,297.0313103,30.60787841
42,G10_AL,Net Photosynthesis,Ambient,Grac,0.124779866,5.612674779,5.003789997,306.2307505,27.72652329
43,G10_ND,Respiration,Nutrient,Grac,0.182239239,51.83818311,3.572325281,315.425564,41.34405361
44,G10_NL,Net Photosynthesis,Nutrient,Grac,0.713421675,5.290436682,4.875817579,302.9393078,27.03522548
45,G2_AD,Respiration,Ambient,Grac,0.945617925,1.247112202,3.837022987,296.0579374,29.99904629
46,G2_AL,Net Photosynthesis,Ambient,Grac,0.363138474,6.852720509,4.991137526,306.9612127,30.43155085
47,G2_NL,Net Photosynthesis,Nutrient,Grac,0.751189464,5.398624624,4.767524277,303.2136973,27.41181934
48,G3_AD,Respiration,Ambient,Grac,1.218384539,1.482679636,4.349513295,293.3671303,28.06835192
49,G3_AL,Net Photosynthesis,Ambient,Grac,0.229103836,6.040247958,4.822806396,306.6905317,29.26092306
50,G3_ND,Respiration,Nutrient,Grac,0.193212747,50.62665507,3.589212351,315.5243442,41.43390062
51,G3_NL,Net Photosynthesis,Nutrient,Grac,0.336586644,6.502261338,5.024625956,306.633508,29.90124404
52,G4_AD,Respiration,Ambient,Grac,1.074733129,1.492866343,4.346873348,295.4891532,27.17648864
53,G4_ND,Respiration,Nutrient,Grac,5.043668944,5.107504007,7.338417998,288.3230933,21.4368027
54,G4_NL,Net Photosynthesis,Nutrient,Grac,0.719210433,5.092057081,4.49603021,303.1263307,27.19445185
55,G5_AD,Respiration,Ambient,Grac,1.258642805,1.531072367,4.562930521,294.1375516,28.63591566
56,G5_AL,Net Photosynthesis,Ambient,Grac,0.273923986,4.85513346,5.17238876,303.3809227,25.69663392
57,G5_ND,Respiration,Nutrient,Grac,0.401457294,1.82E-08,4.268594097,309.5823173,NA
58,G5_NL,Net Photosynthesis,Nutrient,Grac,0.694984828,5.412561965,4.925421013,303.162219,27.23466557
59,G6_AD,Respiration,Ambient,Grac,0.566055936,1.750302607,3.473293804,313.9218001,37.22966759
