,rate.type,individual.ID,term,estimate,std.error,statistic,p.value,Temp.Cat,unique.ID,Temp.C,K,Ambient_Nutrient,Species,Chamber.Channel,Run,umol.cm2.hr,log.rate,Species.ID,Organism.ID
1,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,16,C1_AD_16,16,289.15,Ambient,Caul,1,9,23.14460394,3.184060916,C1_D,C1
2,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,20,C1_AD_20,20,293.15,Ambient,Caul,1,9,5.123297955,1.812100833,C1_D,C1
3,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,22,C1_AD_22,22,295.15,Ambient,Caul,1,9,36.71469116,3.630049704,C1_D,C1
4,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,24,C1_AD_24,24,297.15,Ambient,Caul,1,9,31.5096115,3.481535784,C1_D,C1
5,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,26,C1_AD_26,26,299.15,Ambient,Caul,1,9,64.72066475,4.185413408,C1_D,C1
6,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,28,C1_AD_28,28,301.15,Ambient,Caul,1,9,53.42528474,3.996828839,C1_D,C1
7,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,30,C1_AD_30,30,303.15,Ambient,Caul,1,9,78.51938857,4.376000873,C1_D,C1
8,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,32,C1_AD_32,32,305.15,Ambient,Caul,1,9,88.55401497,4.494841962,C1_D,C1
9,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,34,C1_AD_34,34,307.15,Ambient,Caul,1,9,180.2810998,5.200048864,C1_D,C1
10,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,36,C1_AD_36,36,309.15,Ambient,Caul,1,9,153.4786804,5.040056096,C1_D,C1
11,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,39,C1_AD_39,39,312.15,Ambient,Caul,1,9,154.0765906,5.043919128,C1_D,C1
