PreSens Measurement Studio 2,3.0.3.1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
6/21/22,21:20:01,1,default,306097895,O1,16.361,min,146.188,μmol/L,Humid,18.965,deg,39130,µV,41.706,°C,1015,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,284006.36,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/21/22 21:01,0000-00,0,no battery,V
6/21/22,21:20:02,1,default,306097895,O1,16.377,min,146.081,μmol/L,Humid,18.968,deg,39124,µV,41.715,°C,1015,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,284013,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/21/22 21:01,0000-00,0,no battery,V
6/21/22,21:20:03,1,default,306097895,O1,16.394,min,146.094,μmol/L,Humid,18.967,deg,39131,µV,41.715,°C,1015,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,284011.35,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/21/22 21:01,0000-00,0,no battery,V
6/21/22,21:20:04,1,default,306097895,O1,16.41,min,146.057,μmol/L,Humid,18.964,deg,39132,µV,41.725,°C,1015,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,284019.5,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/21/22 21:01,0000-00,0,no battery,V
6/21/22,21:20:05,1,default,306097895,O1,16.427,min,146.162,μmol/L,Humid,18.965,deg,39139,µV,41.71,°C,1015,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,284014.72,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/21/22 21:01,0000-00,0,no battery,V
6/21/22,21:20:06,1,default,306097895,O1,16.444,min,146.073,μmol/L,Humid,18.971,deg,39140,µV,41.71,°C,1015,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,284021.32,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/21/22 21:01,0000-00,0,no battery,V
6/21/22,21:20:07,1,default,306097895,O1,16.461,min,146.09,μmol/L,Humid,18.968,deg,39133,µV,41.714,°C,1015,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,284003.14,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/21/22 21:01,0000-00,0,no battery,V
6/21/22,21:20:08,1,default,306097895,O1,16.477,min,146.005,μmol/L,Humid,18.973,deg,39139,µV,41.716,°C,1015,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,283998.41,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/21/22 21:01,0000-00,0,no battery,V
6/21/22,21:20:09,1,default,306097895,O1,16.494,min,145.99,μmol/L,Humid,18.968,deg,39136,µV,41.727,°C,1015,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,283996.45,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/21/22 21:01,0000-00,0,no battery,V
6/21/22,21:20:10,1,default,306097895,O1,16.51,min,145.864,μmol/L,Humid,18.979,deg,39130,µV,41.723,°C,1015,hPa,38,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,30.87,0,95,283986.87,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,000000-000,6/21/22 21:01,0000-00,0,no battery,V
